58.87,23.74,2021-05-26,12946861,0,1002.84,22:00:53.894921
54.42,24.45,2021-05-26,4180968,1,1002.21,22:00:54.195949
58.03,23.66,2021-05-26,5782093,2,1002.70,22:00:54.496669
58.25,24.06,2021-05-26,9154569,3,1002.67,22:00:54.788279
60.74,23.94,2021-05-26,12586787,4,1002.40,22:00:55.087275
54.58,23.93,2021-05-26,12946861,5,1001.86,22:00:55.391500
58.87,23.74,2021-05-26,12946861,0,1002.88,22:00:56.669576
54.42,24.45,2021-05-26,4164725,1,1002.22,22:00:56.774622
58.04,23.65,2021-05-26,5763441,2,1002.73,22:00:56.890033
58.27,24.06,2021-05-26,9170231,3,1002.67,22:00:57.009023
60.73,23.94,2021-05-26,12586787,4,1002.40,22:00:57.130355
54.60,23.93,2021-05-26,12946861,5,1001.89,22:00:57.251214
58.87,23.75,2021-05-26,12946861,0,1002.87,22:00:57.375410
54.43,24.45,2021-05-26,4167963,1,1002.24,22:00:57.495960
58.05,23.66,2021-05-26,5782093,2,1002.74,22:00:57.615332
58.26,24.06,2021-05-26,9170231,3,1002.67,22:00:57.734771
60.73,23.95,2021-05-26,12586787,4,1002.39,22:00:57.855459
54.59,23.94,2021-05-26,12946861,5,1001.85,22:00:57.976105
58.87,23.76,2021-05-26,12946861,0,1002.87,22:00:58.100953
54.43,24.45,2021-05-26,4171207,1,1002.21,22:00:58.222102
58.05,23.67,2021-05-26,5763441,2,1002.75,22:00:58.341350
58.27,24.07,2021-05-26,9138960,3,1002.65,22:00:58.460326
60.75,23.96,2021-05-26,12586787,4,1002.42,22:00:58.582008
54.59,23.94,2021-05-26,12946861,5,1001.86,22:00:58.702665
58.87,23.76,2021-05-26,12946861,0,1002.86,22:00:58.837939
54.43,24.46,2021-05-26,4158263,1,1002.24,22:00:58.958400
58.05,23.67,2021-05-26,5757251,2,1002.73,22:00:59.077406
58.27,24.07,2021-05-26,9178083,3,1002.66,22:00:59.196296
60.74,23.96,2021-05-26,12586787,4,1002.43,22:00:59.317686
54.59,23.94,2021-05-26,12946861,5,1001.87,22:00:59.438959
58.87,23.76,2021-05-26,12946861,0,1002.86,22:00:59.563478
54.43,24.46,2021-05-26,4164725,1,1002.22,22:00:59.684655
58.04,23.67,2021-05-26,5769645,2,1002.74,22:00:59.803689
58.27,24.07,2021-05-26,9170231,3,1002.66,22:00:59.922872
60.75,23.96,2021-05-26,12586787,4,1002.40,22:01:00.044633
54.59,23.94,2021-05-26,12946861,5,1001.86,22:01:00.165286
