0,12946861,21:03:26.196944,1001.74,64.46,24.47,2021-05-26
1,3205742,21:03:26.486974,1001.32,60.10,25.05,2021-05-26
2,3368951,21:03:26.777915,1001.75,64.14,24.30,2021-05-26
3,4538527,21:03:27.064457,1001.74,64.55,24.65,2021-05-26
4,12586787,21:03:27.356125,1001.39,66.51,24.64,2021-05-26
5,6889461,21:03:27.648256,1000.93,60.25,24.58,2021-05-26
0,12946861,21:03:28.897471,1001.76,64.44,24.47,2021-05-26
1,3213430,21:03:29.015189,1001.31,60.10,25.05,2021-05-26
2,3368951,21:03:29.131694,1001.78,64.12,24.31,2021-05-26
3,4527028,21:03:29.247950,1001.74,64.55,24.65,2021-05-26
4,12586787,21:03:29.365378,1001.38,66.49,24.64,2021-05-26
5,6880617,21:03:29.484097,1000.95,60.23,24.58,2021-05-26
0,12946861,21:03:29.604338,1001.72,64.43,24.48,2021-05-26
1,3205742,21:03:29.722317,1001.34,60.09,25.06,2021-05-26
2,3364721,21:03:29.838551,1001.76,64.11,24.32,2021-05-26
3,4519393,21:03:29.955372,1001.71,64.55,24.66,2021-05-26
4,12586787,21:03:30.073471,1001.38,66.47,24.65,2021-05-26
5,6902769,21:03:30.191785,1000.92,60.24,24.59,2021-05-26
0,12946861,21:03:30.312721,1001.71,64.43,24.48,2021-05-26
1,3205742,21:03:30.430628,1001.32,60.09,25.06,2021-05-26
2,3368951,21:03:30.547038,1001.75,64.13,24.32,2021-05-26
3,4511785,21:03:30.663455,1001.74,64.54,24.66,2021-05-26
4,12586787,21:03:30.781737,1001.39,66.46,24.66,2021-05-26
5,6902769,21:03:30.900062,1000.94,60.23,24.59,2021-05-26
0,12946861,21:03:31.019836,1001.74,64.42,24.48,2021-05-26
1,3215357,21:03:31.137740,1001.31,60.06,25.06,2021-05-26
2,3364721,21:03:31.254078,1001.76,64.11,24.32,2021-05-26
3,4504202,21:03:31.370274,1001.74,64.55,24.67,2021-05-26
4,12586787,21:03:31.487916,1001.39,66.45,24.66,2021-05-26
5,6911670,21:03:31.605733,1000.94,60.23,24.60,2021-05-26
0,12946861,21:03:31.732762,1001.79,64.41,24.49,2021-05-26
1,3198091,21:03:31.850668,1001.29,60.06,25.06,2021-05-26
2,3362610,21:03:31.966870,1001.77,64.08,24.33,2021-05-26
3,4511785,21:03:32.083318,1001.77,64.54,24.67,2021-05-26
4,12586787,21:03:32.201788,1001.39,66.45,24.66,2021-05-26
5,6925065,21:03:32.319041,1000.94,60.23,24.60,2021-05-26
0,12946861,21:03:33.527136,1001.73,64.41,24.48,2021-05-26
1,3203826,21:03:33.645179,1001.30,60.06,25.05,2021-05-26
2,3350000,21:03:33.761808,1001.77,64.08,24.32,2021-05-26
3,4527028,21:03:33.878158,1001.74,64.53,24.66,2021-05-26
4,12586787,21:03:33.996610,1001.37,66.44,24.66,2021-05-26
5,6902769,21:03:34.114894,1000.95,60.20,24.59,2021-05-26
0,12946861,21:03:34.235452,1001.78,64.39,24.49,2021-05-26
1,3211504,21:03:34.353421,1001.33,60.05,25.06,2021-05-26
2,3360502,21:03:34.470164,1001.78,64.06,24.33,2021-05-26
3,4507990,21:03:34.586405,1001.76,64.52,24.67,2021-05-26
4,12586787,21:03:34.704622,1001.38,66.45,24.67,2021-05-26
5,6902769,21:03:34.821764,1000.92,60.20,24.60,2021-05-26
0,12946861,21:03:34.941899,1001.76,64.39,24.50,2021-05-26
1,3200000,21:03:35.059582,1001.31,60.03,25.06,2021-05-26
2,3368951,21:03:35.175753,1001.74,64.06,24.33,2021-05-26
3,4530854,21:03:35.291884,1001.76,64.51,24.67,2021-05-26
4,12586787,21:03:35.409784,1001.40,66.43,24.67,2021-05-26
5,6925065,21:03:35.527811,1000.93,60.21,24.60,2021-05-26
0,12946861,21:03:35.648347,1001.75,64.39,24.50,2021-05-26
1,3203826,21:03:35.766646,1001.32,60.04,25.07,2021-05-26
2,3362610,21:03:35.883210,1001.78,64.04,24.33,2021-05-26
