0,24.02,58.31,2021-05-26,21:59:12.589950,12946861,1002.83
1,24.61,54.21,2021-05-26,21:59:12.889256,4123077,1002.21
2,23.85,57.69,2021-05-26,21:59:13.179047,5708201,1002.70
3,24.23,57.94,2021-05-26,21:59:13.468988,9015980,1002.64
4,24.18,60.25,2021-05-26,21:59:13.748005,12586787,1002.38
5,24.12,54.28,2021-05-26,21:59:14.049087,12946861,1001.87
0,24.01,58.31,2021-05-26,21:59:15.364889,12946861,1002.83
1,24.62,54.22,2021-05-26,21:59:15.482852,4123077,1002.22
2,23.85,57.70,2021-05-26,21:59:15.601791,5683988,1002.70
3,24.23,57.94,2021-05-26,21:59:15.720855,9023570,1002.66
4,24.18,60.26,2021-05-26,21:59:15.841091,12586787,1002.34
5,24.12,54.30,2021-05-26,21:59:15.961800,12946861,1001.84
0,24.02,58.32,2021-05-26,21:59:16.086106,12946861,1002.81
1,24.63,54.23,2021-05-26,21:59:16.207140,4116744,1002.20
2,23.86,57.70,2021-05-26,21:59:16.327321,5677967,1002.71
3,24.24,57.93,2021-05-26,21:59:16.446073,9023570,1002.66
4,24.20,60.27,2021-05-26,21:59:16.566508,12586787,1002.36
5,24.12,54.30,2021-05-26,21:59:16.686757,12946861,1001.85
0,24.03,58.33,2021-05-26,21:59:16.811192,12946861,1002.83
1,24.63,54.24,2021-05-26,21:59:16.931875,4129430,1002.21
2,23.86,57.70,2021-05-26,21:59:17.050609,5690022,1002.68
3,24.25,57.94,2021-05-26,21:59:17.169350,9023570,1002.66
4,24.20,60.27,2021-05-26,21:59:17.290257,12586787,1002.36
5,24.13,54.32,2021-05-26,21:59:17.410696,12946861,1001.83
0,24.03,58.33,2021-05-26,21:59:17.543471,12946861,1002.80
1,24.64,54.23,2021-05-26,21:59:17.664850,4126251,1002.23
2,23.86,57.68,2021-05-26,21:59:17.783875,5654009,1002.70
3,24.25,57.94,2021-05-26,21:59:17.902803,9008404,1002.64
4,24.20,60.25,2021-05-26,21:59:18.023414,12586787,1002.36
5,24.13,54.29,2021-05-26,21:59:18.144168,12946861,1001.84
0,24.02,58.32,2021-05-26,21:59:18.267392,12946861,1002.82
1,24.64,54.23,2021-05-26,21:59:18.388411,4123077,1002.21
2,23.86,57.69,2021-05-26,21:59:18.507156,5690022,1002.71
3,24.25,57.93,2021-05-26,21:59:18.626555,9015980,1002.62
4,24.20,60.25,2021-05-26,21:59:18.746951,12586787,1002.35
5,24.13,54.30,2021-05-26,21:59:18.867409,12946861,1001.84
