0,2021-05-26,1002.81,22:04:48.299090,12946861,24.12,57.99
1,2021-05-26,1002.15,22:04:48.603541,4223799,24.51,54.29
2,2021-05-26,1002.71,22:04:48.905217,5800866,23.93,57.36
3,2021-05-26,1002.65,22:04:49.205502,9337980,24.23,57.88
4,2021-05-26,1002.38,22:04:49.502108,12586787,24.29,59.94
5,2021-05-26,1001.86,22:04:49.808109,12946861,24.20,54.02
0,2021-05-26,1002.77,22:04:51.409146,12946861,24.13,57.97
1,2021-05-26,1002.20,22:04:51.529992,4213837,24.51,54.27
2,2021-05-26,1002.72,22:04:51.649027,5845148,23.94,57.37
3,2021-05-26,1002.66,22:04:51.768156,9337980,24.24,57.86
4,2021-05-26,1002.33,22:04:51.889031,12586787,24.30,59.92
5,2021-05-26,1001.86,22:04:52.009836,12946861,24.20,54.00
0,2021-05-26,1002.84,22:04:52.135075,12946861,24.13,57.96
1,2021-05-26,1002.17,22:04:52.255727,4203922,24.52,54.27
2,2021-05-26,1002.71,22:04:52.374935,5800866,23.95,57.36
3,2021-05-26,1002.63,22:04:52.494388,9305556,24.24,57.85
4,2021-05-26,1002.32,22:04:52.615610,12586787,24.31,59.92
5,2021-05-26,1001.83,22:04:52.736256,12946861,24.21,54.00
0,2021-05-26,1002.82,22:04:52.861145,12946861,24.14,57.96
1,2021-05-26,1002.20,22:04:52.982020,4220473,24.52,54.27
2,2021-05-26,1002.72,22:04:53.100993,5819762,23.95,57.35
3,2021-05-26,1002.63,22:04:53.220282,9297485,24.25,57.86
4,2021-05-26,1002.32,22:04:53.341155,12586787,24.31,59.90
5,2021-05-26,1001.88,22:04:53.462095,12946861,24.22,54.01
0,2021-05-26,1002.82,22:04:53.586752,12946861,24.14,57.96
1,2021-05-26,1002.15,22:04:53.708188,4210527,24.52,54.27
2,2021-05-26,1002.69,22:04:53.827389,5826088,23.95,57.34
3,2021-05-26,1002.61,22:04:53.946439,9313641,24.25,57.85
4,2021-05-26,1002.37,22:04:54.067093,12586787,24.31,59.92
5,2021-05-26,1001.84,22:04:54.187568,12946861,24.22,53.99
0,2021-05-26,1002.80,22:04:54.312219,12946861,24.15,57.96
1,2021-05-26,1002.16,22:04:54.432781,4223799,24.53,54.27
2,2021-05-26,1002.70,22:04:54.552037,5819762,23.95,57.33
3,2021-05-26,1002.62,22:04:54.671849,9337980,24.25,57.84
4,2021-05-26,1002.32,22:04:54.792733,12586787,24.31,59.90
5,2021-05-26,1001.86,22:04:54.914099,12946861,24.22,54.00
