1002.19,2021-05-26,58.70,23.89,21:33:37.232994,0,12946861
1001.69,2021-05-26,54.24,24.60,21:33:37.533825,1,3724809
1002.19,2021-05-26,58.01,23.76,21:33:37.834090,2,4739169
1002.09,2021-05-26,58.29,24.15,21:33:38.131526,3,7342466
1001.86,2021-05-26,60.56,24.09,21:33:38.431768,4,12586787
1001.37,2021-05-26,54.59,24.03,21:33:38.733587,5,10199810
1002.21,2021-05-26,58.72,23.91,21:33:40.086014,0,12946861
1001.70,2021-05-26,54.25,24.60,21:33:40.206548,1,3724809
1002.20,2021-05-26,58.05,23.76,21:33:40.325437,2,4734983
1002.14,2021-05-26,58.33,24.16,21:33:40.444750,3,7317407
1001.85,2021-05-26,60.60,24.09,21:33:40.565281,4,12586787
1001.35,2021-05-26,54.61,24.04,21:33:40.686035,5,10180437
1002.24,2021-05-26,58.74,23.92,21:33:40.810129,0,12946861
1001.68,2021-05-26,54.24,24.60,21:33:40.930654,1,3727400
1002.19,2021-05-26,58.05,23.77,21:33:41.049862,2,4734983
1002.13,2021-05-26,58.31,24.17,21:33:41.168901,3,7317407
1001.82,2021-05-26,60.60,24.10,21:33:41.289559,4,12586787
1001.35,2021-05-26,54.60,24.05,21:33:41.410404,5,10209524
1002.24,2021-05-26,58.73,23.92,21:33:41.535148,0,12946861
1001.69,2021-05-26,54.25,24.60,21:33:41.659983,1,3724809
1002.23,2021-05-26,58.07,23.78,21:33:41.779036,2,4734983
1002.12,2021-05-26,58.32,24.17,21:33:41.898117,3,7342466
1001.84,2021-05-26,60.61,24.11,21:33:42.019083,4,12586787
1001.34,2021-05-26,54.62,24.05,21:33:42.140244,5,10180437
1002.24,2021-05-26,58.73,23.92,21:33:42.268717,0,12946861
1001.70,2021-05-26,54.26,24.61,21:33:42.389734,1,3724809
1002.20,2021-05-26,58.07,23.78,21:33:42.510274,2,4743363
1002.11,2021-05-26,58.32,24.17,21:33:42.629466,3,7312415
1001.82,2021-05-26,60.62,24.11,21:33:42.750732,4,12586787
1001.33,2021-05-26,54.62,24.06,21:33:42.871355,5,10219257
1002.21,2021-05-26,58.74,23.92,21:33:42.999901,0,12946861
1001.68,2021-05-26,54.26,24.61,21:33:43.120374,1,3727400
1002.19,2021-05-26,58.07,23.78,21:33:43.239302,2,4747565
1002.14,2021-05-26,58.34,24.17,21:33:43.358424,3,7317407
1001.84,2021-05-26,60.62,24.11,21:33:43.479452,4,12586787
1001.32,2021-05-26,54.60,24.06,21:33:43.600179,5,10190115
