55.20,0,2021-05-25,1377184,23:23:26.468430,20.28,1007.19
51.75,1,2021-05-25,8355417,23:23:29.812117,20.57,1006.54
52.41,2,2021-05-25,813601,23:23:33.151040,20.56,1006.93
57.95,3,2021-05-25,851335,23:23:36.490120,19.06,1006.96
56.95,4,2021-05-25,12586787,23:23:39.832954,20.38,1006.83
50.65,5,2021-05-25,10839232,23:23:43.177851,20.42,1006.19
55.21,0,2021-05-25,1372951,23:23:47.309244,20.29,1007.20
51.69,1,2021-05-25,8355417,23:23:50.431059,20.56,1006.55
52.41,2,2021-05-25,812122,23:23:53.550122,20.56,1006.96
57.95,3,2021-05-25,853504,23:23:56.670352,19.06,1006.97
56.94,4,2021-05-25,12586787,23:23:59.791870,20.39,1006.82
50.71,5,2021-05-25,10817357,23:24:02.913831,20.42,1006.15
55.19,0,2021-05-25,1371546,23:24:07.042498,20.29,1007.17
51.73,1,2021-05-25,8375001,23:24:10.162937,20.57,1006.56
52.38,2,2021-05-25,812122,23:24:13.283808,20.56,1006.98
57.93,3,2021-05-25,856231,23:24:16.404407,19.06,1006.97
56.91,4,2021-05-25,12586787,23:24:19.527799,20.39,1006.81
50.66,5,2021-05-25,10784709,23:24:22.651189,20.41,1006.13
55.13,0,2021-05-25,1381444,23:24:26.779199,20.26,1007.14
51.70,1,2021-05-25,8348910,23:24:29.900841,20.55,1006.53
52.78,2,2021-05-25,803358,23:24:33.021345,20.73,1006.86
57.92,3,2021-05-25,853504,23:24:36.141478,19.05,1006.97
56.93,4,2021-05-25,12586787,23:24:39.263445,20.38,1006.82
50.69,5,2021-05-25,10795570,23:24:42.385110,20.41,1006.16
55.14,0,2021-05-25,1381444,23:24:46.507443,20.26,1007.17
51.69,1,2021-05-25,8368463,23:24:49.627642,20.54,1006.55
57.92,3,2021-05-25,852960,23:24:55.760146,19.06,1006.95
56.91,4,2021-05-25,12586787,23:24:58.881408,20.37,1006.83
50.65,5,2021-05-25,10817357,23:25:02.001519,20.40,1006.18
