2021-05-26,24.29,12946861,1003.07,56.11,0,22:49:24.855799
2021-05-26,24.57,4585116,1002.46,52.78,1,22:49:25.158029
2021-05-26,24.12,6036037,1003.06,55.38,2,22:49:25.470378
2021-05-26,24.38,9953575,1002.99,55.97,3,22:49:25.884221
2021-05-26,24.45,12586787,1002.65,58.06,4,22:49:26.305065
2021-05-26,24.40,12946861,1002.12,52.15,5,22:49:26.745139
2021-05-26,24.29,12946861,1003.07,56.12,0,22:49:28.431367
2021-05-26,24.58,4569480,1002.49,52.77,1,22:49:28.535764
2021-05-26,24.12,6049662,1003.06,55.38,2,22:49:28.638968
2021-05-26,24.38,9898431,1003.01,55.95,3,22:49:28.742519
2021-05-26,24.46,12586787,1002.64,58.05,4,22:49:28.846702
2021-05-26,24.40,12946861,1002.10,52.14,5,22:49:28.951008
2021-05-26,24.30,12946861,1003.05,56.13,0,22:49:29.058460
2021-05-26,24.59,4581197,1002.45,52.77,1,22:49:29.162793
2021-05-26,24.13,6049662,1003.03,55.38,2,22:49:29.265839
2021-05-26,24.39,9907579,1003.02,55.97,3,22:49:29.369106
2021-05-26,24.47,12586787,1002.65,58.05,4,22:49:29.473622
2021-05-26,24.41,12946861,1002.08,52.14,5,22:49:29.578099
2021-05-26,24.31,12946861,1003.01,56.11,0,22:49:29.688227
2021-05-26,24.59,4581197,1002.43,52.77,1,22:49:29.792588
2021-05-26,24.13,6073655,1003.07,55.38,2,22:49:29.895695
2021-05-26,24.39,9916744,1003.01,55.95,3,22:49:29.998955
2021-05-26,24.47,12586787,1002.66,58.05,4,22:49:30.103449
2021-05-26,24.42,12946861,1002.12,52.14,5,22:49:30.208126
2021-05-26,24.31,12946861,1003.10,56.10,0,22:49:30.321700
2021-05-26,24.59,4573379,1002.51,52.77,1,22:49:30.426009
2021-05-26,24.14,6049662,1003.06,55.36,2,22:49:30.529236
2021-05-26,24.39,9953575,1003.01,55.95,3,22:49:30.632613
2021-05-26,24.48,12586787,1002.64,58.06,4,22:49:30.737344
2021-05-26,24.42,12946861,1002.10,52.14,5,22:49:30.841616
2021-05-26,24.31,12946861,1003.10,56.10,0,22:49:30.948316
2021-05-26,24.59,4569480,1002.49,52.77,1,22:49:31.052773
2021-05-26,24.14,6042842,1003.06,55.38,2,22:49:31.156032
2021-05-26,24.40,9916744,1003.00,55.97,3,22:49:31.260186
2021-05-26,24.48,12586787,1002.66,58.05,4,22:49:31.364852
2021-05-26,24.42,12946861,1002.12,52.14,5,22:49:31.469652
