0,1002.78,57.82,12946861,2021-05-26,22:06:50.258556,24.17
1,1002.15,54.20,4237155,2021-05-26,22:06:50.560445,24.54
2,1002.68,57.21,5832427,2021-05-26,22:06:50.860503,23.98
3,1002.61,57.72,9387041,2021-05-26,22:06:51.160390,24.27
4,1002.32,59.75,12586787,2021-05-26,22:06:51.464451,24.34
5,1001.80,53.86,12946861,2021-05-26,22:06:51.765561,24.25
0,1002.79,57.82,12946861,2021-05-26,22:06:52.977904,24.17
1,1002.13,54.20,4237155,2021-05-26,22:06:53.098423,24.54
2,1002.65,57.21,5832427,2021-05-26,22:06:53.217308,23.98
3,1002.58,57.72,9411765,2021-05-26,22:06:53.336050,24.28
4,1002.30,59.76,12586787,2021-05-26,22:06:53.457329,24.34
5,1001.83,53.88,12946861,2021-05-26,22:06:53.577935,24.26
0,1002.67,57.83,12946861,2021-05-26,22:06:53.702760,24.18
1,1002.12,54.18,4243864,2021-05-26,22:06:53.823385,24.55
2,1002.64,57.21,5851529,2021-05-26,22:06:53.942584,23.99
3,1002.56,57.71,9420036,2021-05-26,22:06:54.061929,24.28
4,1002.29,59.76,12586787,2021-05-26,22:06:54.182513,24.35
5,1001.78,53.86,12946861,2021-05-26,22:06:54.302915,24.26
0,1002.76,57.83,12946861,2021-05-26,22:06:54.426362,24.18
1,1002.12,54.20,4230466,2021-05-26,22:06:54.546896,24.55
2,1002.66,57.20,5800866,2021-05-26,22:06:54.665903,23.99
3,1002.59,57.70,9378828,2021-05-26,22:06:54.785418,24.28
4,1002.32,59.74,12586787,2021-05-26,22:06:54.906654,24.35
5,1001.79,53.85,12946861,2021-05-26,22:06:55.027431,24.27
0,1002.67,57.81,12946861,2021-05-26,22:06:55.152383,24.18
1,1002.15,54.18,4227130,2021-05-26,22:06:55.273582,24.55
2,1002.67,57.20,5832427,2021-05-26,22:06:55.393938,24.00
3,1002.56,57.71,9411765,2021-05-26,22:06:55.513122,24.29
4,1002.31,59.75,12586787,2021-05-26,22:06:55.634787,24.35
5,1001.78,53.86,12946861,2021-05-26,22:06:55.755397,24.27
0,1002.76,57.81,12946861,2021-05-26,22:06:55.880188,24.18
1,1002.14,54.18,4230466,2021-05-26,22:06:56.000671,24.55
2,1002.65,57.18,5851529,2021-05-26,22:06:56.119918,24.00
3,1002.60,57.70,9378828,2021-05-26,22:06:56.238946,24.29
4,1002.32,59.73,12586787,2021-05-26,22:06:56.359502,24.35
5,1001.77,53.85,12946861,2021-05-26,22:06:56.480755,24.27
0,1002.77,57.78,12946861,2021-05-26,22:06:57.883585,24.18
1,1002.12,54.16,4237155,2021-05-26,22:06:58.006825,24.54
2,1002.65,57.18,5819762,2021-05-26,22:06:58.130565,23.99
3,1002.56,57.69,9428321,2021-05-26,22:06:58.253704,24.28
4,1002.28,59.73,12586787,2021-05-26,22:06:58.378676,24.35
5,1001.78,53.82,12946861,2021-05-26,22:06:58.503168,24.26
0,1002.77,57.79,12946861,2021-05-26,22:06:58.632083,24.19
1,1002.13,54.17,4233808,2021-05-26,22:06:58.756083,24.55
2,1002.66,57.16,5826088,2021-05-26,22:06:58.878930,23.99
3,1002.54,57.69,9387041,2021-05-26,22:06:59.001876,24.29
4,1002.32,59.73,12586787,2021-05-26,22:06:59.127926,24.36
5,1001.77,53.84,12946861,2021-05-26,22:06:59.251491,24.27
0,1002.68,57.79,12946861,2021-05-26,22:06:59.382891,24.19
