0,21:50:18.256734,2021-05-26,58.80,12946861,1002.52,23.91
1,21:50:18.555426,2021-05-26,54.47,4000000,1001.97,24.55
2,21:50:18.840559,2021-05-26,58.11,5463813,1002.47,23.77
3,21:50:19.137708,2021-05-26,58.35,8507937,1002.38,24.14
4,21:50:19.426810,2021-05-26,60.67,12586787,1002.12,24.09
5,21:50:19.726966,2021-05-26,54.74,12777116,1001.64,24.02
0,21:50:20.915181,2021-05-26,58.79,12946861,1002.52,23.91
1,21:50:21.019905,2021-05-26,54.46,4002988,1001.97,24.55
2,21:50:21.132838,2021-05-26,58.09,5452696,1002.47,23.77
3,21:50:21.252345,2021-05-26,58.36,8535032,1002.38,24.15
4,21:50:21.372966,2021-05-26,60.67,12586787,1002.13,24.09
5,21:50:21.493917,2021-05-26,54.71,12746731,1001.61,24.02
0,21:50:21.618122,2021-05-26,58.77,12946861,1002.51,23.92
1,21:50:21.738725,2021-05-26,54.47,3985131,1001.96,24.56
2,21:50:21.857633,2021-05-26,58.09,5452696,1002.46,23.78
3,21:50:21.976432,2021-05-26,58.36,8541833,1002.45,24.15
4,21:50:22.097043,2021-05-26,60.67,12586787,1002.13,24.10
5,21:50:22.218567,2021-05-26,54.71,12746731,1001.60,24.03
0,21:50:22.343479,2021-05-26,58.79,12946861,1002.50,23.92
1,21:50:22.464402,2021-05-26,54.47,3997018,1001.96,24.56
2,21:50:22.583630,2021-05-26,58.08,5458249,1002.47,23.78
3,21:50:22.702669,2021-05-26,58.35,8528242,1002.38,24.15
4,21:50:22.824285,2021-05-26,60.68,12586787,1002.13,24.10
5,21:50:22.944987,2021-05-26,54.71,12746731,1001.63,24.03
0,21:50:23.069593,2021-05-26,58.77,12946861,1002.48,23.92
1,21:50:23.190828,2021-05-26,54.48,4002988,1001.96,24.57
2,21:50:23.310139,2021-05-26,58.08,5430598,1002.48,23.78
3,21:50:23.429126,2021-05-26,58.35,8528242,1002.43,24.16
4,21:50:23.549244,2021-05-26,60.68,12586787,1002.11,24.10
5,21:50:23.669885,2021-05-26,54.74,12792363,1001.63,24.04
0,21:50:23.802007,2021-05-26,58.77,12946861,1002.49,23.93
1,21:50:23.922945,2021-05-26,54.47,4002988,1001.94,24.57
2,21:50:24.042329,2021-05-26,58.08,5458249,1002.46,23.78
3,21:50:24.161434,2021-05-26,58.35,8507937,1002.41,24.16
4,21:50:24.282169,2021-05-26,60.66,12586787,1002.13,24.11
5,21:50:24.402798,2021-05-26,54.71,12777116,1001.58,24.04
0,21:50:25.913645,2021-05-26,58.75,12946861,1002.52,23.92
1,21:50:26.036263,2021-05-26,54.46,3991065,1001.95,24.56
2,21:50:26.162278,2021-05-26,58.05,5425102,1002.50,23.77
3,21:50:26.285066,2021-05-26,58.33,8548645,1002.37,24.15
4,21:50:26.410018,2021-05-26,60.65,12586787,1002.10,24.09
5,21:50:26.536123,2021-05-26,54.70,12746731,1001.61,24.03
0,21:50:26.664885,2021-05-26,58.74,12946861,1002.50,23.92
1,21:50:26.792938,2021-05-26,54.46,4002988,1001.93,24.57
2,21:50:26.915942,2021-05-26,58.05,5441625,1002.47,23.78
3,21:50:27.039206,2021-05-26,58.33,8541833,1002.46,24.15
4,21:50:27.162488,2021-05-26,60.65,12586787,1002.12,24.09
5,21:50:27.286494,2021-05-26,54.69,12761905,1001.61,24.04
0,21:50:27.415663,2021-05-26,58.74,12946861,1002.52,23.92
1,21:50:27.539803,2021-05-26,54.47,3997018,1001.92,24.57
2,21:50:27.662396,2021-05-26,58.04,5441625,1002.47,23.78
3,21:50:27.791228,2021-05-26,58.33,8528242,1002.40,24.15
4,21:50:27.915330,2021-05-26,60.63,12586787,1002.11,24.09
5,21:50:28.039520,2021-05-26,54.69,12777116,1001.60,24.04
0,21:50:28.168103,2021-05-26,58.73,12946861,1002.51,23.92
1,21:50:28.294400,2021-05-26,54.47,4002988,1001.97,24.57
2,21:50:28.415950,2021-05-26,58.03,5441625,1002.48,23.78
3,21:50:28.539265,2021-05-26,58.33,8548645,1002.41,24.16
4,21:50:28.664024,2021-05-26,60.62,12586787,1002.10,24.09
5,21:50:28.790893,2021-05-26,54.67,12746731,1001.60,24.04
0,21:50:28.922701,2021-05-26,58.74,12946861,1002.50,23.91
1,21:50:29.047713,2021-05-26,54.46,3997018,1001.97,24.58
2,21:50:29.170085,2021-05-26,58.03,5419616,1002.48,23.78
3,21:50:29.294607,2021-05-26,58.33,8548645,1002.40,24.16
4,21:50:29.417693,2021-05-26,60.62,12586787,1002.11,24.09
5,21:50:29.543560,2021-05-26,54.67,12792363,1001.62,24.04
0,21:50:29.672472,2021-05-26,58.72,12946861,1002.51,23.91
1,21:50:29.795930,2021-05-26,54.46,4000000,1001.96,24.57
2,21:50:29.924135,2021-05-26,58.02,5441625,1002.48,23.78
3,21:50:30.045866,2021-05-26,58.33,8521463,1002.44,24.16
4,21:50:30.169126,2021-05-26,60.62,12586787,1002.10,24.09
5,21:50:30.294179,2021-05-26,54.66,12777116,1001.64,24.04
0,21:50:31.699194,2021-05-26,58.69,12946861,1002.53,23.91
1,21:50:31.824709,2021-05-26,54.47,3991065,1001.93,24.57
2,21:50:31.948135,2021-05-26,58.02,5425102,1002.45,23.77
3,21:50:32.070116,2021-05-26,58.31,8541833,1002.39,24.15
4,21:50:32.194132,2021-05-26,60.60,12586787,1002.14,24.08
5,21:50:32.318662,2021-05-26,54.63,12807647,1001.62,24.03
0,21:50:32.445955,2021-05-26,58.71,12946861,1002.52,23.91
1,21:50:32.571991,2021-05-26,54.47,3976262,1001.97,24.58
2,21:50:32.695537,2021-05-26,58.01,5403226,1002.43,23.77
3,21:50:32.818860,2021-05-26,58.30,8541833,1002.37,24.15
4,21:50:32.943405,2021-05-26,60.60,12586787,1002.14,24.09
5,21:50:33.070134,2021-05-26,54.62,12777116,1001.61,24.04
