2021-05-26,0,23.73,12946861,22:01:17.960366,1002.88,58.82
2021-05-26,1,24.44,4184232,22:01:18.262872,1002.23,54.51
2021-05-26,2,23.64,5769645,22:01:18.564625,1002.76,58.09
2021-05-26,3,24.03,9209623,22:01:18.866634,1002.70,58.30
2021-05-26,4,23.93,12586787,22:01:19.168274,1002.43,60.70
2021-05-26,5,23.91,12946861,22:01:19.468032,1001.92,54.62
2021-05-26,0,23.73,12946861,22:01:20.693961,1002.87,58.82
2021-05-26,1,24.44,4171207,22:01:20.798728,1002.27,54.50
2021-05-26,2,23.63,5757251,22:01:20.916910,1002.76,58.08
2021-05-26,3,24.03,9209623,22:01:21.035726,1002.67,58.27
2021-05-26,4,23.92,12586787,22:01:21.156169,1002.44,60.69
2021-05-26,5,23.91,12946861,22:01:21.276624,1001.90,54.62
2021-05-26,0,23.74,12946861,22:01:21.401283,1002.88,58.83
2021-05-26,1,24.45,4171207,22:01:21.521215,1002.26,54.51
2021-05-26,2,23.64,5775863,22:01:21.640065,1002.86,58.06
2021-05-26,3,24.03,9233420,22:01:21.758829,1002.69,58.27
2021-05-26,4,23.93,12586787,22:01:21.879103,1002.41,60.70
2021-05-26,5,23.92,12946861,22:01:21.999535,1001.89,54.62
2021-05-26,0,23.75,12946861,22:01:22.124510,1002.86,58.83
2021-05-26,1,24.45,4177709,22:01:22.245110,1002.23,54.51
2021-05-26,2,23.65,5819762,22:01:22.364430,1002.76,58.07
2021-05-26,3,24.03,9193826,22:01:22.483471,1002.67,58.27
2021-05-26,4,23.93,12586787,22:01:22.604380,1002.43,60.71
2021-05-26,5,23.92,12946861,22:01:22.724716,1001.88,54.62
2021-05-26,0,23.75,12946861,22:01:22.848848,1002.87,58.83
2021-05-26,1,24.45,4164725,22:01:22.969473,1002.26,54.49
2021-05-26,2,23.64,5819762,22:01:23.088397,1002.83,58.06
2021-05-26,3,24.04,9201717,22:01:23.207200,1002.69,58.27
2021-05-26,4,23.94,12586787,22:01:23.328350,1002.43,60.70
2021-05-26,5,23.92,12946861,22:01:23.448966,1001.87,54.61
2021-05-26,0,23.75,12946861,22:01:23.572950,1002.88,58.82
2021-05-26,1,24.45,4164725,22:01:23.693062,1002.27,54.49
2021-05-26,2,23.65,5775863,22:01:23.811872,1002.74,58.07
2021-05-26,3,24.04,9193826,22:01:23.930859,1002.66,58.27
2021-05-26,4,23.94,12586787,22:01:24.050400,1002.41,60.70
2021-05-26,5,23.92,12946861,22:01:24.170927,1001.87,54.60
