8743883,24.82,2021-05-26,0,1001.42,65.52,20:44:57.128712
2994414,25.29,2021-05-26,1,1000.91,61.19,20:44:57.816874
2454213,24.61,2021-05-26,2,1001.44,65.25,20:44:58.502920
3040273,24.94,2021-05-26,3,1001.42,65.63,20:44:59.166424
12586787,24.96,2021-05-26,4,1001.01,67.59,20:44:59.859208
5726496,24.92,2021-05-26,5,1000.55,61.27,20:45:00.547812
8794094,24.83,2021-05-26,0,1001.45,65.51,20:45:02.135869
2999441,25.30,2021-05-26,1,1000.96,61.16,20:45:02.652634
2443027,24.62,2021-05-26,2,1001.41,65.24,20:45:03.168166
3028249,24.94,2021-05-26,3,1001.44,65.64,20:45:03.683106
12586787,24.96,2021-05-26,4,1001.00,67.57,20:45:14.441520
5720385,24.93,2021-05-26,5,1000.58,61.28,20:45:14.944119
8794094,24.84,2021-05-26,0,1001.44,65.50,20:45:15.460796
2996088,25.31,2021-05-26,1,1000.92,61.14,20:45:15.977364
2443027,24.63,2021-05-26,2,1001.44,65.19,20:45:16.492546
3035108,24.95,2021-05-26,3,1001.42,65.61,20:45:17.007756
12586787,24.97,2021-05-26,4,1001.01,67.50,20:45:17.524479
5732621,24.93,2021-05-26,5,1000.56,61.23,20:45:18.041110
8830314,24.85,2021-05-26,0,1001.42,65.43,20:45:18.558245
2997763,25.31,2021-05-26,1,1000.93,61.12,20:45:19.074981
2458716,24.63,2021-05-26,2,1001.43,65.12,20:45:19.590177
3043726,24.96,2021-05-26,3,1001.43,65.61,20:45:20.105393
12586787,24.96,2021-05-26,4,1001.03,67.48,20:45:20.621837
5714286,24.94,2021-05-26,5,1000.57,61.19,20:45:21.138316
8837593,24.85,2021-05-26,0,1001.45,65.39,20:45:21.654960
3009546,25.32,2021-05-26,1,1000.93,61.12,20:45:22.156887
2454213,24.64,2021-05-26,2,1001.44,65.09,20:45:22.671888
3052392,24.97,2021-05-26,3,1001.42,65.61,20:45:23.187235
12586787,24.97,2021-05-26,4,1001.01,67.43,20:45:23.704043
5751074,24.95,2021-05-26,5,1000.60,61.14,20:45:24.220593
8859505,24.85,2021-05-26,0,1001.44,65.33,20:45:24.746983
2999441,25.33,2021-05-26,1,1000.94,61.12,20:45:25.264125
2456462,24.64,2021-05-26,2,1001.44,65.06,20:45:25.779433
3045455,24.98,2021-05-26,3,1001.41,65.63,20:45:26.294713
12586787,24.98,2021-05-26,4,1000.97,67.40,20:45:26.811061
