2021-05-26,58.79,12946861,0,21:56:59.214701,23.83,1002.79
2021-05-26,54.62,4119908,1,21:56:59.518129,24.40,1002.21
2021-05-26,58.13,5642106,2,21:56:59.825579,23.67,1002.66
2021-05-26,58.45,8955723,3,21:57:00.132767,24.04,1002.61
2021-05-26,60.67,12586787,4,21:57:00.433377,24.03,1002.30
2021-05-26,54.70,12946861,5,21:57:00.730560,23.94,1001.81
2021-05-26,58.76,12946861,0,21:57:02.045577,23.85,1002.79
2021-05-26,54.60,4116744,1,21:57:02.155361,24.41,1002.18
2021-05-26,58.12,5648051,2,21:57:02.274718,23.69,1002.66
2021-05-26,58.44,8985751,3,21:57:02.393735,24.05,1002.61
2021-05-26,60.65,12586787,4,21:57:02.514486,24.04,1002.33
2021-05-26,54.70,12946861,5,21:57:02.635211,23.95,1001.82
2021-05-26,58.76,12946861,0,21:57:02.759977,23.87,1002.80
2021-05-26,54.60,4104135,1,21:57:02.880391,24.41,1002.18
2021-05-26,58.11,5659979,2,21:57:02.999154,23.70,1002.71
2021-05-26,58.42,8925896,3,21:57:03.118148,24.06,1002.64
2021-05-26,60.65,12586787,4,21:57:03.238622,24.06,1002.37
2021-05-26,54.69,12946861,5,21:57:03.359701,23.96,1001.83
2021-05-26,58.75,12946861,0,21:57:03.484183,23.88,1002.78
2021-05-26,54.58,4094729,1,21:57:03.604885,24.42,1002.19
2021-05-26,58.10,5677967,2,21:57:03.724114,23.70,1002.70
2021-05-26,58.41,8933334,3,21:57:03.843129,24.07,1002.63
2021-05-26,60.64,12586787,4,21:57:03.964870,24.07,1002.31
2021-05-26,54.69,12946861,5,21:57:04.085361,23.96,1001.82
2021-05-26,58.72,12946861,0,21:57:04.218826,23.88,1002.80
2021-05-26,54.59,4100995,1,21:57:04.340049,24.42,1002.17
2021-05-26,58.08,5654009,2,21:57:04.459503,23.71,1002.67
2021-05-26,58.41,8948248,3,21:57:04.578369,24.07,1002.61
2021-05-26,60.63,12586787,4,21:57:04.699005,24.07,1002.33
2021-05-26,54.67,12946861,5,21:57:04.821591,23.97,1001.82
2021-05-26,58.73,12946861,0,21:57:04.945174,23.89,1002.80
2021-05-26,54.58,4110430,1,21:57:05.066404,24.42,1002.17
2021-05-26,58.08,5665962,2,21:57:05.187348,23.71,1002.70
2021-05-26,58.41,8970712,3,21:57:05.308250,24.08,1002.61
2021-05-26,60.62,12586787,4,21:57:05.428913,24.08,1002.36
2021-05-26,54.67,12946861,5,21:57:05.549549,23.97,1001.82
