58.40,21:58:08.340173,1002.80,12946861,0,2021-05-26,23.97
54.45,21:58:08.642877,1002.19,4119908,1,2021-05-26,24.58
57.79,21:58:08.943632,1002.73,5659979,2,2021-05-26,23.80
58.13,21:58:09.239716,1002.67,8948248,3,2021-05-26,24.16
60.30,21:58:09.540949,1002.37,12586787,4,2021-05-26,24.14
54.39,21:58:09.844237,1001.87,12946861,5,2021-05-26,24.07
58.39,21:58:11.046868,1002.80,12946861,0,2021-05-26,23.95
54.43,21:58:11.169399,1002.17,4113585,1,2021-05-26,24.58
57.77,21:58:11.288405,1002.71,5702128,2,2021-05-26,23.80
58.10,21:58:11.407197,1002.66,9000840,3,2021-05-26,24.17
60.28,21:58:11.527892,1002.37,12586787,4,2021-05-26,24.14
54.38,21:58:11.652011,1001.85,12946861,5,2021-05-26,24.07
58.39,21:58:11.776058,1002.83,12946861,0,2021-05-26,23.96
54.41,21:58:11.896430,1002.24,4113585,1,2021-05-26,24.59
57.77,21:58:12.015401,1002.72,5690022,2,2021-05-26,23.81
58.11,21:58:12.135035,1002.67,8985751,3,2021-05-26,24.18
60.30,21:58:12.255606,1002.38,12586787,4,2021-05-26,24.14
54.38,21:58:12.376773,1001.86,12946861,5,2021-05-26,24.07
58.41,21:58:12.502567,1002.81,12946861,0,2021-05-26,23.96
54.42,21:58:12.622740,1002.21,4104135,1,2021-05-26,24.59
57.76,21:58:12.741861,1002.70,5677967,2,2021-05-26,23.81
58.10,21:58:12.860874,1002.68,8993289,3,2021-05-26,24.18
60.31,21:58:12.981415,1002.36,12586787,4,2021-05-26,24.15
54.37,21:58:13.102785,1001.85,12946861,5,2021-05-26,24.07
58.41,21:58:13.227620,1002.82,12946861,0,2021-05-26,23.96
54.42,21:58:13.347949,1002.21,4104135,1,2021-05-26,24.60
57.75,21:58:13.466793,1002.70,5665962,2,2021-05-26,23.81
58.10,21:58:13.585722,1002.67,8978225,3,2021-05-26,24.18
60.30,21:58:13.707034,1002.34,12586787,4,2021-05-26,24.15
54.35,21:58:13.827365,1001.85,12946861,5,2021-05-26,24.08
58.40,21:58:13.952336,1002.81,12946861,0,2021-05-26,23.96
54.41,21:58:14.073453,1002.22,4100995,1,2021-05-26,24.60
57.76,21:58:14.192790,1002.72,5659979,2,2021-05-26,23.81
58.10,21:58:14.312067,1002.66,9008404,3,2021-05-26,24.18
60.31,21:58:14.432946,1002.35,12586787,4,2021-05-26,24.15
54.36,21:58:14.553614,1001.86,12946861,5,2021-05-26,24.08
