1,21:08:22.268972,49.49,816078,21.31,2021-05-25,1007.05
2,21:08:25.605222,51.72,12567410,20.40,2021-05-25,1006.70
3,21:08:28.946360,57.96,910945,19.01,2021-05-25,1007.09
4,21:08:32.287027,56.99,12586787,20.25,2021-05-25,1007.00
5,21:08:35.634875,50.84,12946861,20.26,2021-05-25,1006.28
1,21:08:55.855538,51.57,812122,21.34,2021-05-25,1007.02
2,21:08:58.975549,51.73,12508752,20.40,2021-05-25,1006.64
3,21:09:02.096526,58.40,908475,19.06,2021-05-25,1007.07
4,21:09:05.216901,57.23,12586787,20.26,2021-05-25,1006.99
5,21:09:08.338493,50.84,12946861,20.27,2021-05-25,1006.32
1,21:09:28.532783,50.04,811630,21.33,2021-05-25,1007.04
2,21:09:31.653598,51.82,12523365,20.42,2021-05-25,1006.68
3,21:09:34.773722,57.74,908475,19.04,2021-05-25,1007.07
4,21:09:37.893794,57.12,12586787,20.28,2021-05-25,1006.97
5,21:09:41.015848,50.89,12946861,20.29,2021-05-25,1006.29
1,21:10:01.249854,53.06,804322,21.63,2021-05-25,1007.05
3,21:10:07.379094,57.76,910327,19.02,2021-05-25,1007.10
4,21:10:10.499555,57.00,12586787,20.29,2021-05-25,1006.94
5,21:10:13.620993,50.81,12946861,20.30,2021-05-25,1006.32
1,21:10:33.818743,49.86,812614,21.33,2021-05-25,1007.07
2,21:10:36.940526,51.78,12494173,20.41,2021-05-25,1006.68
3,21:10:40.060167,57.65,913429,19.00,2021-05-25,1007.08
4,21:10:43.180588,57.01,12586787,20.28,2021-05-25,1007.00
5,21:10:46.302034,50.83,12946861,20.30,2021-05-25,1006.34
1,21:11:06.501236,50.70,821079,21.28,2021-05-25,1007.06
2,21:11:09.628642,51.85,12465117,20.43,2021-05-25,1006.68
3,21:11:12.749111,57.76,910945,19.00,2021-05-25,1007.10
4,21:11:15.870805,57.10,12586787,20.30,2021-05-25,1006.99
5,21:11:18.992389,50.85,12946861,20.32,2021-05-25,1006.34
1,21:11:39.202840,50.03,818571,21.20,2021-05-25,1007.01
2,21:11:42.325500,51.77,12465117,20.42,2021-05-25,1006.64
3,21:11:45.444408,57.85,909091,18.99,2021-05-25,1007.11
4,21:11:48.565802,57.03,12586787,20.29,2021-05-25,1006.97
5,21:11:51.687604,50.79,12946861,20.33,2021-05-25,1006.33
1,21:12:11.871964,50.07,820074,21.18,2021-05-25,1007.07
2,21:12:14.993848,51.79,12450639,20.43,2021-05-25,1006.66
3,21:12:18.112982,57.92,910327,18.99,2021-05-25,1007.09
4,21:12:21.234596,57.05,12586787,20.27,2021-05-25,1006.98
5,21:12:24.354996,50.79,12946861,20.33,2021-05-25,1006.34
2,21:12:47.607096,64.75,738776,24.84,2021-05-25,1007.13
3,21:12:50.726250,57.96,908475,18.98,2021-05-25,1007.11
4,21:12:53.847895,57.12,12586787,20.29,2021-05-25,1006.97
5,21:12:56.968685,50.83,12946861,20.35,2021-05-25,1006.32
2,21:13:20.145311,47.05,812122,22.68,2021-05-25,1007.08
3,21:13:23.264420,57.99,910327,18.97,2021-05-25,1007.12
4,21:13:26.386125,57.08,12586787,20.30,2021-05-25,1007.01
5,21:13:29.505609,50.78,12946861,20.36,2021-05-25,1006.33
2,21:13:52.746383,47.29,770115,24.35,2021-05-25,1007.14
3,21:13:55.868826,58.07,910327,18.95,2021-05-25,1007.14
4,21:13:58.990307,57.20,12586787,20.31,2021-05-25,1006.95
5,21:14:02.110757,50.80,12946861,20.38,2021-05-25,1006.35
2,21:14:25.332854,64.93,1517554,23.21,2021-05-25,1007.25
3,21:14:28.453027,58.04,908475,18.94,2021-05-25,1007.10
