23.98,21:48:37.866091,1002.53,0,2021-05-26,12946861,58.72
24.62,21:48:38.167985,1001.98,1,2021-05-26,3958642,54.35
23.84,21:48:38.466191,1002.46,2,2021-05-26,5343969,58.04
24.22,21:48:38.764761,1002.39,3,2021-05-26,8401254,58.34
24.18,21:48:39.062850,1002.11,4,2021-05-26,12586787,60.62
24.12,21:48:39.364678,1001.58,5,2021-05-26,12450639,54.61
23.97,21:48:40.890185,1002.49,0,2021-05-26,12946861,58.72
24.60,21:48:41.011710,1001.95,1,2021-05-26,3970371,54.31
23.84,21:48:41.130444,1002.44,2,2021-05-26,5354646,58.02
24.21,21:48:41.249097,1002.35,3,2021-05-26,8447597,58.31
24.17,21:48:41.369649,1002.10,4,2021-05-26,12586787,60.60
24.12,21:48:41.491900,1001.60,5,2021-05-26,12436196,54.59
23.97,21:48:41.616802,1002.47,0,2021-05-26,12946861,58.71
24.61,21:48:41.737336,1001.94,1,2021-05-26,3958642,54.30
23.85,21:48:41.856159,1002.45,2,2021-05-26,5354646,58.01
24.22,21:48:41.975220,1002.39,3,2021-05-26,8434304,58.32
24.17,21:48:42.095645,1002.08,4,2021-05-26,12586787,60.58
24.12,21:48:42.216030,1001.58,5,2021-05-26,12421785,54.58
23.97,21:48:42.340802,1002.47,0,2021-05-26,12946861,58.70
24.60,21:48:42.461960,1001.95,1,2021-05-26,3955720,54.27
23.85,21:48:42.580927,1002.45,2,2021-05-26,5343969,57.98
24.22,21:48:42.699654,1002.36,3,2021-05-26,8454259,58.30
24.17,21:48:42.820052,1002.09,4,2021-05-26,12586787,60.57
24.13,21:48:42.940979,1001.59,5,2021-05-26,12465117,54.58
23.97,21:48:43.070147,1002.50,0,2021-05-26,12946861,58.70
24.60,21:48:43.190604,1001.94,1,2021-05-26,3967432,54.26
23.85,21:48:43.309242,1002.43,2,2021-05-26,5343969,57.97
24.22,21:48:43.428008,1002.36,3,2021-05-26,8440945,58.30
24.17,21:48:43.548407,1002.08,4,2021-05-26,12586787,60.55
24.13,21:48:43.669282,1001.57,5,2021-05-26,12479628,54.56
23.96,21:48:43.792855,1002.46,0,2021-05-26,12946861,58.69
24.60,21:48:43.914433,1001.95,1,2021-05-26,3955720,54.26
23.85,21:48:44.033180,1002.45,2,2021-05-26,5360001,57.96
24.22,21:48:44.152258,1002.37,3,2021-05-26,8414443,58.28
24.17,21:48:44.272678,1002.10,4,2021-05-26,12586787,60.53
24.13,21:48:44.393533,1001.56,5,2021-05-26,12450639,54.56
