1002.21,0,12946861,24.02,2021-05-26,21:32:42.961337,58.71
1001.64,1,3706778,24.65,2021-05-26,21:32:43.261349,54.24
1002.16,2,4685315,23.87,2021-05-26,21:32:43.563930,57.97
1002.10,3,7194631,24.23,2021-05-26,21:32:43.866129,58.32
1001.83,4,12586787,24.17,2021-05-26,21:32:44.169712,60.61
1001.33,5,10009338,24.14,2021-05-26,21:32:44.472535,54.52
1002.22,0,12946861,24.02,2021-05-26,21:32:45.851336,58.70
1001.65,1,3704216,24.65,2021-05-26,21:32:45.972756,54.26
1002.14,2,4673061,23.86,2021-05-26,21:32:46.091742,57.97
1002.10,3,7228591,24.22,2021-05-26,21:32:46.210728,58.32
1001.79,4,12586787,24.15,2021-05-26,21:32:46.331045,60.61
1001.29,5,10000001,24.15,2021-05-26,21:32:46.451900,54.54
1002.21,0,12946861,24.02,2021-05-26,21:32:46.576375,58.70
1001.65,1,3706778,24.66,2021-05-26,21:32:46.696803,54.26
1002.16,2,4677138,23.87,2021-05-26,21:32:46.815528,57.97
1002.12,3,7209146,24.23,2021-05-26,21:32:46.934743,58.33
1001.84,4,12586787,24.16,2021-05-26,21:32:47.055201,60.61
1001.28,5,10028064,24.15,2021-05-26,21:32:47.175647,54.53
1002.18,0,12946861,24.02,2021-05-26,21:32:47.299660,58.71
1001.67,1,3709343,24.66,2021-05-26,21:32:47.420121,54.26
1002.16,2,4656821,23.87,2021-05-26,21:32:47.538982,57.96
1002.11,3,7204302,24.23,2021-05-26,21:32:47.657891,58.33
1001.79,4,12586787,24.17,2021-05-26,21:32:47.778190,60.59
1001.31,5,10037454,24.15,2021-05-26,21:32:47.898865,54.54
1002.18,0,12946861,24.02,2021-05-26,21:32:48.023339,58.70
1001.69,1,3699103,24.66,2021-05-26,21:32:48.144097,54.26
1002.16,2,4648743,23.87,2021-05-26,21:32:48.262862,57.97
1002.14,3,7209146,24.24,2021-05-26,21:32:48.381932,58.34
1001.79,4,12586787,24.17,2021-05-26,21:32:48.505365,60.59
1001.29,5,10018692,24.16,2021-05-26,21:32:48.627085,54.53
1002.19,0,12946861,24.02,2021-05-26,21:32:48.751167,58.71
1001.68,1,3711912,24.66,2021-05-26,21:32:48.871966,54.28
1002.16,2,4677138,23.87,2021-05-26,21:32:48.990918,57.97
1002.10,3,7209146,24.23,2021-05-26,21:32:49.109655,58.36
1001.82,4,12586787,24.17,2021-05-26,21:32:49.230043,60.61
1001.31,5,10028064,24.15,2021-05-26,21:32:49.350964,54.53
1002.20,0,12946861,24.01,2021-05-26,21:32:50.132044,58.70
1001.69,1,3706778,24.65,2021-05-26,21:32:50.244817,54.27
1002.16,2,4681223,23.86,2021-05-26,21:32:50.368631,57.97
1002.11,3,7223720,24.23,2021-05-26,21:32:50.492633,58.36
1001.82,4,12586787,24.17,2021-05-26,21:32:50.622850,60.61
1001.32,5,10028064,24.14,2021-05-26,21:32:50.747105,54.54
1002.18,0,12946861,24.01,2021-05-26,21:32:50.875679,58.70
1001.67,1,3719640,24.65,2021-05-26,21:32:51.000144,54.29
1002.16,2,4673061,23.87,2021-05-26,21:32:51.121944,57.98
1002.10,3,7204302,24.23,2021-05-26,21:32:51.244878,58.37
1001.78,4,12586787,24.17,2021-05-26,21:32:51.368416,60.59
1001.29,5,10056286,24.15,2021-05-26,21:32:51.493725,54.54
1002.18,0,12946861,24.01,2021-05-26,21:32:51.624018,58.69
1001.68,1,3709343,24.66,2021-05-26,21:32:51.746529,54.31
1002.14,2,4677138,23.87,2021-05-26,21:32:51.869138,57.98
1001.79,4,12586787,24.17,2021-05-26,21:32:52.036962,60.59
