58.42,23.92,0,2021-05-26,21:49:39.242666,1002.50,12946861
54.17,24.63,1,2021-05-26,21:49:39.544061,1001.97,3976262
57.76,23.81,2,2021-05-26,21:49:39.835611,1002.46,5386935
58.13,24.22,3,2021-05-26,21:49:40.138695,1002.37,8507937
60.31,24.14,4,2021-05-26,21:49:40.438629,1002.11,12586787
54.37,24.05,5,2021-05-26,21:49:40.739982,1001.59,12641510
58.43,23.88,0,2021-05-26,21:49:41.950926,1002.48,12946861
54.15,24.60,1,2021-05-26,21:49:42.055798,1001.95,3976262
57.75,23.80,2,2021-05-26,21:49:42.172015,1002.46,5419616
58.12,24.20,3,2021-05-26,21:49:42.291388,1002.36,8501190
60.30,24.10,4,2021-05-26,21:49:42.412170,1002.11,12586787
54.38,24.05,5,2021-05-26,21:49:42.532840,1001.60,12626620
58.43,23.86,0,2021-05-26,21:49:42.657557,1002.50,12946861
54.14,24.61,1,2021-05-26,21:49:42.777959,1001.98,3997018
57.76,23.80,2,2021-05-26,21:49:42.896678,1002.43,5381527
58.12,24.20,3,2021-05-26,21:49:43.015592,1002.39,8494454
60.30,24.09,4,2021-05-26,21:49:43.136922,1002.09,12586787
54.37,24.04,5,2021-05-26,21:49:43.258022,1001.57,12671395
58.45,23.84,0,2021-05-26,21:49:43.382140,1002.48,12946861
54.13,24.60,1,2021-05-26,21:49:43.502842,1001.95,3982170
57.74,23.79,2,2021-05-26,21:49:43.622041,1002.42,5403226
58.08,24.19,3,2021-05-26,21:49:43.741139,1002.35,8474309
60.30,24.08,4,2021-05-26,21:49:43.861940,1002.12,12586787
54.37,24.02,5,2021-05-26,21:49:43.982844,1001.60,12686391
58.46,23.83,0,2021-05-26,21:49:44.106610,1002.49,12946861
54.12,24.59,1,2021-05-26,21:49:44.227639,1001.97,3985131
57.74,23.79,2,2021-05-26,21:49:44.346477,1002.44,5414142
58.09,24.18,3,2021-05-26,21:49:44.465375,1002.38,8507937
60.31,24.08,4,2021-05-26,21:49:44.585997,1002.06,12586787
54.37,24.01,5,2021-05-26,21:49:44.706601,1001.57,12656435
58.48,23.82,0,2021-05-26,21:49:44.833450,1002.50,12946861
54.11,24.58,1,2021-05-26,21:49:44.954481,1001.92,3991065
57.74,23.78,2,2021-05-26,21:49:45.075076,1002.43,5386935
58.10,24.18,3,2021-05-26,21:49:45.194762,1002.37,8514695
60.32,24.08,4,2021-05-26,21:49:45.315461,1002.09,12586787
54.38,24.00,5,2021-05-26,21:49:45.436097,1001.55,12686391
