21:00:25.816417,2021-05-26,64.88,24.25,12946861,1001.73,0
21:00:26.313878,2021-05-26,60.38,24.94,3184790,1001.24,1
21:00:26.832989,2021-05-26,64.51,24.16,3242590,1001.75,2
21:00:27.325852,2021-05-26,64.92,24.56,4294872,1001.67,3
21:00:27.845435,2021-05-26,66.91,24.43,12586787,1001.36,4
21:00:28.344257,2021-05-26,60.52,24.45,6729442,1000.93,5
21:00:29.818452,2021-05-26,64.95,24.25,12946861,1001.73,0
21:00:30.137325,2021-05-26,60.38,24.94,3181009,1001.23,1
21:00:30.454762,2021-05-26,64.56,24.15,3248485,1001.70,2
21:00:30.771985,2021-05-26,64.91,24.56,4308682,1001.67,3
21:00:31.090599,2021-05-26,66.98,24.42,12586787,1001.32,4
21:00:31.409709,2021-05-26,60.56,24.44,6729442,1000.95,5
21:00:31.730883,2021-05-26,65.01,24.26,12946861,1001.71,0
21:00:32.049619,2021-05-26,60.39,24.94,3173476,1001.23,1
21:00:32.366712,2021-05-26,64.59,24.15,3248485,1001.71,2
21:00:32.684076,2021-05-26,64.91,24.55,4305221,1001.70,3
21:00:33.002750,2021-05-26,67.02,24.43,12586787,1001.39,4
21:00:33.321737,2021-05-26,60.59,24.43,6729442,1000.93,5
21:00:33.642083,2021-05-26,65.03,24.26,12946861,1001.71,0
21:00:33.960827,2021-05-26,60.40,24.94,3190477,1001.27,1
21:00:34.281152,2021-05-26,64.59,24.14,3256380,1001.76,2
21:00:34.603071,2021-05-26,64.93,24.55,4301766,1001.69,3
21:00:34.921973,2021-05-26,67.04,24.42,12586787,1001.35,4
21:00:35.241278,2021-05-26,60.58,24.43,6746382,1000.89,5
21:00:35.562264,2021-05-26,65.02,24.24,12946861,1001.71,0
21:00:35.881154,2021-05-26,60.41,24.95,3198091,1001.25,1
21:00:36.200387,2021-05-26,64.59,24.14,3248485,1001.75,2
21:00:36.517471,2021-05-26,64.94,24.54,4298316,1001.69,3
21:00:36.836174,2021-05-26,67.03,24.43,12586787,1001.38,4
21:00:37.157407,2021-05-26,60.60,24.43,6759143,1000.94,5
21:00:37.478360,2021-05-26,65.03,24.25,12946861,1001.74,0
21:00:37.797695,2021-05-26,60.39,24.95,3177238,1001.23,1
21:00:38.114814,2021-05-26,64.58,24.14,3252428,1001.74,2
21:00:38.432094,2021-05-26,64.95,24.55,4308682,1001.73,3
21:00:38.750629,2021-05-26,67.04,24.44,12586787,1001.38,4
21:00:39.069343,2021-05-26,60.60,24.44,6733669,1000.94,5
21:00:40.486714,2021-05-26,65.05,24.28,12946861,1001.74,0
21:00:40.805530,2021-05-26,60.42,24.96,3188579,1001.27,1
21:00:41.122650,2021-05-26,64.66,24.15,3246518,1001.74,2
21:00:41.439644,2021-05-26,65.02,24.55,4319098,1001.69,3
21:00:41.764806,2021-05-26,67.11,24.47,12586787,1001.36,4
21:00:42.083162,2021-05-26,60.65,24.44,6742139,1000.94,5
21:00:42.405031,2021-05-26,65.11,24.29,12946861,1001.74,0
21:00:42.724165,2021-05-26,60.45,24.96,3188579,1001.28,1
21:00:43.040093,2021-05-26,64.69,24.16,3254402,1001.77,2
21:00:43.357302,2021-05-26,65.03,24.55,4326070,1001.69,3
21:00:43.676136,2021-05-26,67.14,24.48,12586787,1001.38,4
21:00:43.994975,2021-05-26,60.69,24.45,6750630,1000.93,5
21:00:44.316175,2021-05-26,65.11,24.29,12946861,1001.75,0
21:00:44.635012,2021-05-26,60.44,24.97,3184790,1001.28,1
21:00:45.400153,2021-05-26,67.11,24.47,12586787,1001.41,4
21:00:45.719804,2021-05-26,60.70,24.44,6750630,1000.93,5
