0,55.28,1407564,20.21,1007.15,22:17:35.386981,2021-05-25
1,51.85,8903655,20.51,1006.54,22:17:38.687914,2021-05-25
2,52.50,810158,20.50,1006.87,22:17:42.014264,2021-05-25
3,58.09,866753,19.02,1006.90,22:17:45.322555,2021-05-25
4,57.08,12586787,20.34,1006.79,22:17:48.633751,2021-05-25
5,50.81,11178311,20.36,1006.13,22:17:51.956383,2021-05-25
0,55.33,1395834,20.21,1007.13,22:17:56.078689,2021-05-25
1,51.88,8881525,20.51,1006.50,22:17:59.198648,2021-05-25
2,52.55,807229,20.50,1006.88,22:18:02.317155,2021-05-25
3,58.05,864517,19.02,1006.93,22:18:05.435574,2021-05-25
4,57.10,12586787,20.34,1006.78,22:18:08.558172,2021-05-25
5,50.80,11189980,20.37,1006.13,22:18:11.664818,2021-05-25
0,55.34,1403142,20.21,1007.09,22:18:15.784972,2021-05-25
1,51.85,8896266,20.52,1006.52,22:18:18.904464,2021-05-25
2,52.51,808691,20.50,1006.87,22:18:22.022655,2021-05-25
3,58.09,864517,19.02,1006.91,22:18:25.145237,2021-05-25
4,57.09,12586787,20.35,1006.80,22:18:28.264864,2021-05-25
5,50.78,11201672,20.37,1006.13,22:18:31.384159,2021-05-25
0,55.29,1400209,20.25,1007.12,22:18:35.505381,2021-05-25
1,51.86,8888889,20.53,1006.51,22:18:38.625151,2021-05-25
2,52.49,809668,20.51,1006.89,22:18:41.749776,2021-05-25
3,58.11,865075,19.02,1006.91,22:18:44.868334,2021-05-25
4,57.12,12586787,20.37,1006.77,22:18:47.988273,2021-05-25
5,50.91,11143452,20.39,1006.10,22:18:51.108188,2021-05-25
0,55.31,1400209,20.26,1007.11,22:18:55.229300,2021-05-25
1,51.92,8866833,20.54,1006.50,22:18:58.354777,2021-05-25
2,52.48,808691,20.51,1006.90,22:19:01.478181,2021-05-25
3,58.12,862291,19.02,1006.92,22:19:04.597285,2021-05-25
4,57.01,12586787,20.35,1006.75,22:19:07.718553,2021-05-25
5,50.79,11143452,20.39,1006.11,22:19:10.838479,2021-05-25
0,55.24,1407564,20.23,1007.10,22:19:14.963609,2021-05-25
1,51.84,8830314,20.53,1006.51,22:19:18.083387,2021-05-25
2,52.45,809179,20.51,1006.91,22:19:21.187042,2021-05-25
3,58.13,863959,19.02,1006.89,22:19:24.291985,2021-05-25
4,57.04,12586787,20.36,1006.80,22:19:27.410999,2021-05-25
5,50.76,11155047,20.39,1006.13,22:19:30.531026,2021-05-25
0,55.31,1398748,20.26,1007.13,22:19:34.652516,2021-05-25
1,51.84,8888889,20.53,1006.51,22:19:37.772151,2021-05-25
2,52.48,808691,20.51,1006.88,22:19:40.890212,2021-05-25
3,58.10,864517,19.03,1006.89,22:19:44.008657,2021-05-25
4,57.03,12586787,20.36,1006.79,22:19:47.128331,2021-05-25
5,50.76,11143452,20.39,1006.09,22:19:50.247863,2021-05-25
0,55.23,1398748,20.25,1007.14,22:19:54.369826,2021-05-25
1,51.81,8830314,20.54,1006.49,22:19:57.489663,2021-05-25
2,52.47,811630,20.50,1006.85,22:20:00.608069,2021-05-25
3,58.08,862847,19.03,1006.93,22:20:03.726255,2021-05-25
4,57.03,12586787,20.36,1006.77,22:20:06.848399,2021-05-25
5,50.76,11166667,20.38,1006.10,22:20:09.968275,2021-05-25
0,55.27,1397289,20.24,1007.11,22:20:14.089520,2021-05-25
1,51.83,8823046,20.53,1006.51,22:20:17.209323,2021-05-25
2,52.47,809668,20.52,1006.88,22:20:20.327841,2021-05-25
3,58.07,865075,19.04,1006.92,22:20:23.446109,2021-05-25
4,57.01,12586787,20.35,1006.76,22:20:26.566471,2021-05-25
5,50.76,11131880,20.38,1006.12,22:20:29.686494,2021-05-25
0,55.23,1398748,20.24,1007.12,22:20:33.832635,2021-05-25
1,51.79,8823046,20.52,1006.53,22:20:36.952415,2021-05-25
2,52.42,808203,20.51,1006.89,22:20:40.070576,2021-05-25
3,58.07,862847,19.04,1006.93,22:20:43.188900,2021-05-25
4,57.00,12586787,20.35,1006.77,22:20:46.308583,2021-05-25
5,50.75,11143452,20.38,1006.12,22:20:49.432688,2021-05-25
0,55.25,1391485,20.25,1007.09,22:20:53.553483,2021-05-25
1,51.82,8823046,20.53,1006.47,22:20:56.673259,2021-05-25
2,52.45,810158,20.52,1006.85,22:20:59.792504,2021-05-25
3,58.10,862847,19.04,1006.92,22:21:02.910691,2021-05-25
4,57.03,12586787,20.35,1006.73,22:21:06.030369,2021-05-25
5,50.74,11131880,20.39,1006.11,22:21:09.150057,2021-05-25
0,55.22,1395834,20.23,1007.08,22:21:13.271204,2021-05-25
1,51.82,8815790,20.52,1006.52,22:21:16.391969,2021-05-25
2,52.46,811139,20.52,1006.87,22:21:19.510346,2021-05-25
3,58.06,863403,19.03,1006.92,22:21:22.628579,2021-05-25
4,57.04,12586787,20.35,1006.78,22:21:25.748490,2021-05-25
5,50.77,11108809,20.39,1006.12,22:21:28.868358,2021-05-25
0,55.32,1395834,20.27,1007.11,22:21:32.989719,2021-05-25
1,51.89,8808546,20.54,1006.47,22:21:36.109388,2021-05-25
2,52.57,809668,20.49,1006.91,22:21:39.227861,2021-05-25
3,58.06,862847,19.04,1006.92,22:21:42.346207,2021-05-25
4,57.12,12586787,20.38,1006.81,22:21:45.466664,2021-05-25
5,50.84,11108809,20.42,1006.13,22:21:48.586589,2021-05-25
0,55.37,1392932,20.28,1007.12,22:21:52.708406,2021-05-25
1,51.92,8779689,20.55,1006.51,22:21:55.828091,2021-05-25
2,52.60,808203,20.52,1006.89,22:21:58.946363,2021-05-25
3,58.07,863959,19.04,1006.96,22:22:02.064824,2021-05-25
4,57.05,12586787,20.38,1006.79,22:22:05.184371,2021-05-25
5,50.78,11108809,20.42,1006.16,22:22:08.303692,2021-05-25
0,55.26,1394381,20.29,1007.15,22:22:12.424989,2021-05-25
1,51.87,8815790,20.56,1006.48,22:22:15.544541,2021-05-25
2,52.58,809668,20.53,1006.93,22:22:18.663075,2021-05-25
3,58.05,861737,19.04,1006.95,22:22:21.781374,2021-05-25
4,57.05,12586787,20.39,1006.78,22:22:24.900883,2021-05-25
5,50.72,11143452,20.42,1006.16,22:22:28.022624,2021-05-25
0,55.25,1397289,20.29,1007.17,22:22:32.143861,2021-05-25
1,51.82,8794094,20.56,1006.48,22:22:35.263443,2021-05-25
2,52.52,808691,20.54,1006.90,22:22:38.381702,2021-05-25
3,58.05,861183,19.04,1006.94,22:22:41.499723,2021-05-25
4,57.02,12586787,20.39,1006.79,22:22:44.619362,2021-05-25
5,50.77,11120333,20.42,1006.12,22:22:47.739031,2021-05-25
0,55.23,1394381,20.30,1007.12,22:22:51.860179,2021-05-25
1,51.85,8786886,20.57,1006.51,22:22:54.979893,2021-05-25
2,52.49,808691,20.54,1006.91,22:22:58.098490,2021-05-25
3,58.06,861183,19.04,1006.97,22:23:01.217441,2021-05-25
4,57.02,12586787,20.40,1006.81,22:23:04.336911,2021-05-25
5,50.78,11097309,20.42,1006.17,22:23:07.456829,2021-05-25
0,55.19,1395834,20.30,1007.15,22:23:11.578429,2021-05-25
1,51.84,8772505,20.56,1006.51,22:23:14.698399,2021-05-25
2,52.49,806258,20.54,1006.87,22:23:17.818059,2021-05-25
3,58.03,860630,19.04,1006.90,22:23:20.936833,2021-05-25
4,56.99,12586787,20.38,1006.79,22:23:24.056923,2021-05-25
5,50.77,11085833,20.42,1006.14,22:23:27.176780,2021-05-25
0,55.21,1394381,20.29,1007.13,22:23:31.298498,2021-05-25
1,51.85,8758170,20.56,1006.53,22:23:34.419417,2021-05-25
2,52.49,807229,20.54,1006.86,22:23:37.538860,2021-05-25
3,57.97,860078,19.04,1006.89,22:23:40.657025,2021-05-25
4,57.03,12586787,20.40,1006.81,22:23:43.776720,2021-05-25
5,50.73,11108809,20.43,1006.16,22:23:46.896737,2021-05-25
0,55.21,1398748,20.29,1007.18,22:23:51.020198,2021-05-25
1,51.85,8765332,20.57,1006.53,22:23:54.141065,2021-05-25
2,52.45,808203,20.54,1006.93,22:23:57.259462,2021-05-25
3,57.90,860078,19.05,1006.93,22:24:00.378183,2021-05-25
4,56.97,12586787,20.39,1006.79,22:24:03.498205,2021-05-25
5,50.73,11085833,20.44,1006.16,22:24:06.618262,2021-05-25
0,55.18,1400209,20.28,1007.12,22:24:10.739469,2021-05-25
1,51.79,8743883,20.57,1006.49,22:24:13.859334,2021-05-25
2,52.43,810648,20.55,1006.91,22:24:16.978037,2021-05-25
3,57.94,859526,19.05,1006.93,22:24:20.096269,2021-05-25
4,56.95,12586787,20.39,1006.77,22:24:23.216061,2021-05-25
5,50.66,11085833,20.42,1006.12,22:24:26.338087,2021-05-25
0,55.19,1397289,20.26,1007.15,22:24:30.458966,2021-05-25
1,51.75,8751021,20.56,1006.48,22:24:33.578694,2021-05-25
2,52.41,810158,20.55,1006.88,22:24:36.696881,2021-05-25
3,57.99,862291,19.05,1006.90,22:24:39.815433,2021-05-25
4,56.97,12586787,20.39,1006.78,22:24:42.933703,2021-05-25
5,50.74,11097309,20.42,1006.14,22:24:46.053309,2021-05-25
0,55.27,1391485,20.27,1007.14,22:24:50.412450,2021-05-25
1,51.81,8772505,20.56,1006.54,22:24:53.532014,2021-05-25
2,52.45,809668,20.54,1006.90,22:24:56.650277,2021-05-25
3,58.02,862291,19.04,1006.92,22:24:59.768626,2021-05-25
4,56.95,12586787,20.38,1006.81,02:59:30.370717,2021-05-26
5,50.71,11085833,20.42,1006.15,02:59:33.490186,2021-05-26
0,55.20,1395834,20.25,1007.13,02:59:37.610773,2021-05-26
1,51.76,8772505,20.55,1006.52,02:59:40.730380,2021-05-26
2,52.43,807229,20.53,1006.91,02:59:43.834567,2021-05-26
3,58.03,861183,19.05,1006.91,02:59:46.952544,2021-05-26
4,56.98,12586787,20.38,1006.81,02:59:50.072258,2021-05-26
5,50.69,11085833,20.41,1006.10,02:59:53.192233,2021-05-26
0,55.25,1388602,20.24,1007.13,02:59:57.314480,2021-05-26
1,51.78,8722539,20.55,1006.47,03:00:00.437159,2021-05-26
2,52.52,807716,20.52,1006.88,03:00:03.555441,2021-05-26
3,58.01,862291,19.05,1006.91,03:00:06.677408,2021-05-26
4,57.03,12586787,20.37,1006.78,03:00:09.796779,2021-05-26
5,50.83,11085833,20.43,1006.10,03:00:12.916641,2021-05-26
0,55.34,1391485,20.27,1007.12,03:00:17.037758,2021-05-26
1,51.88,8715448,20.57,1006.48,03:00:20.157261,2021-05-26
